Id;Name;Number;JobTitle;PhoneNumber;EmailAddress;Description;CustomerId;IsDeleted;CreatedAtUtc;CreatedById;UpdatedAtUtc;UpdatedById
25ed83f3-a092-47bf-a2a1-b2aa03fbf040;Matthew Miller;004620250324CC;Social Media Specialist;+1-114-859-6387;matthew.miller@gmail.com;;5ffbbab0-28db-48c5-b8ea-b2aa03fbef96;False;2025-03-24 18:34:02;;;
272d53ee-2f9b-432a-88e6-b2aa03fbf012;Christopher Moore;000420250324CC;Sales Manager;+1-869-645-5109;christopher.moore@gmail.com;;383e75a5-9364-4deb-8e99-b2aa03fbef96;False;2025-03-24 18:34:02;;;
315b8f2d-fa3b-410d-818a-b2aa03fbf03d;Jonathan Miller;004320250324CC;Financial Planner;+1-779-239-1232;jonathan.miller@gmail.com;;64e21eb2-bb24-4583-bca9-b2aa03fbef96;False;2025-03-24 18:34:02;;;
34b6970c-8c2b-47a3-be72-b2aa03fbf02e;Jessica Wilson;002620250324CC;Quality Assurance Tester;+1-867-286-4442;jessica.wilson@gmail.com;;ba2651e9-3393-4a23-b29b-b2aa03fbef96;False;2025-03-24 18:34:02;;;
3d0e30c4-c2d9-42be-8ab5-b2aa03fbf01d;Matthew Williams;001120250324CC;Account Executive;+1-328-826-3654;matthew.williams@gmail.com;;8ea3a51c-8f9a-444a-adba-b2aa03fbef96;False;2025-03-24 18:34:02;;;
3e131011-435a-4d35-a1e1-b2aa03fbf045;Samantha Garcia;005220250324CC;Product Manager;+1-372-343-8904;samantha.garcia@gmail.com;;1682bf17-d742-4e15-bb99-b2aa03fbef96;False;2025-03-24 18:34:02;;;
406ba1ff-d6aa-455a-8032-b2aa03fbf02d;David Hernandez;002520250324CC;Network Administrator;+1-464-335-6111;david.hernandez@gmail.com;;ba2651e9-3393-4a23-b29b-b2aa03fbef96;False;2025-03-24 18:34:02;;;
4671cd0b-2b4b-4ba8-99f2-b2aa03fbf04a;Jessica Thomas;005720250324CC;Financial Planner;+1-783-238-5805;jessica.thomas@gmail.com;;85946162-de2b-4a8a-8c4e-b2aa03fbef96;False;2025-03-24 18:34:02;;;
47397153-aafb-46d3-9840-b2aa03fbf02a;Kevin Martinez;002320250324CC;Network Administrator;+1-196-973-4307;kevin.martinez@gmail.com;;77d66439-6e30-45af-ad5f-b2aa03fbef96;False;2025-03-24 18:34:02;;;
56576d46-16d8-417e-8672-b2aa03fbf02f;Olivia Davis;002720250324CC;Chief Executive Officer;+1-289-299-7034;olivia.davis@gmail.com;;ba2651e9-3393-4a23-b29b-b2aa03fbef96;False;2025-03-24 18:34:02;;;
58e093a3-4abc-42c1-bfee-b2aa03fbf03c;Jason Thompson;004120250324CC;HR Specialist;+1-227-234-1582;jason.thompson@gmail.com;;8da71739-d9c6-43a0-8224-b2aa03fbef96;False;2025-03-24 18:34:02;;;
5e7ce01d-1ddc-4e21-a42c-b2aa03fbf043;Matthew Hernandez;004920250324CC;Operations Manager;+1-931-187-7973;matthew.hernandez@gmail.com;;e7b22ab4-997e-4500-a9b6-b2aa03fbef96;False;2025-03-24 18:34:02;;;
6470c8d4-7dbb-4b7f-a711-b2aa03fbf027;Ashley Lopez;002020250324CC;Business Development Executive;+1-407-644-3247;ashley.lopez@gmail.com;;de12914f-1419-4999-8e39-b2aa03fbef96;False;2025-03-24 18:34:02;;;
6680470a-7bb6-4450-b446-b2aa03fbf04c;Lauren Jackson;005920250324CC;Content Writer;+1-390-165-3041;lauren.jackson@gmail.com;;973f8386-7119-4939-a65b-b2aa03fbef96;False;2025-03-24 18:34:02;;;
6afb1cca-c89c-4154-bc51-b2aa03fbf020;Kevin Lopez;001320250324CC;Quality Assurance Tester;+1-800-864-4285;kevin.lopez@gmail.com;;aadf904b-867e-4fc1-a5ef-b2aa03fbef96;False;2025-03-24 18:34:02;;;
6e044ff5-907f-4c15-b661-b2aa03fbf016;Sarah Thompson;000620250324CC;Data Scientist;+1-141-297-6507;sarah.thompson@gmail.com;;383e75a5-9364-4deb-8e99-b2aa03fbef96;False;2025-03-24 18:34:02;;;
6f79b1eb-ac75-4b71-96d6-b2aa03fbf037;Jonathan Martin;003520250324CC;IT Consultant;+1-837-126-1094;jonathan.martin@gmail.com;;34a1d92c-892f-4c91-834c-b2aa03fbef96;False;2025-03-24 18:34:02;;;
702cbeb2-f686-4e61-b8e2-b2aa03fbf038;Matthew Garcia;003620250324CC;Quality Assurance Tester;+1-850-888-3808;matthew.garcia@gmail.com;;34a1d92c-892f-4c91-834c-b2aa03fbef96;False;2025-03-24 18:34:02;;;
72320b84-5308-4c2c-9e77-b2aa03fbf01e;David Rodriguez;001220250324CC;Product Manager;+1-800-742-8736;david.rodriguez@gmail.com;;8ea3a51c-8f9a-444a-adba-b2aa03fbef96;False;2025-03-24 18:34:02;;;
751d9623-7bbd-4d21-997a-b2aa03fbf03f;Jessica Davis;004520250324CC;Legal Assistant;+1-146-266-4979;jessica.davis@gmail.com;;64e21eb2-bb24-4583-bca9-b2aa03fbef96;False;2025-03-24 18:34:02;;;
7d318c77-284a-47f0-b6c7-b2aa03fbf025;Amanda Brown;001820250324CC;Content Writer;+1-221-397-4683;amanda.brown@gmail.com;;f4548d75-cac1-40c7-827f-b2aa03fbef96;False;2025-03-24 18:34:02;;;
8aea5aaa-477c-4e5c-a20d-b2aa03fbf030;Lauren Thompson;002820250324CC;Sales Manager;+1-558-617-3287;lauren.thompson@gmail.com;;9baaf0aa-77b7-438d-94d6-b2aa03fbef96;False;2025-03-24 18:34:02;;;
8e34dd0d-bead-4c5b-b1ac-b2aa03fbf01b;Ashley Lopez;000920250324CC;Sales Manager;+1-891-314-6904;ashley.lopez@gmail.com;;be7e8379-73dd-4a6d-a0fc-b2aa03fbef96;False;2025-03-24 18:34:02;;;
a94d606d-a06e-40f4-a4e5-b2aa03fbf047;Lauren Brown;005320250324CC;HR Specialist;+1-135-761-3396;lauren.brown@gmail.com;;1682bf17-d742-4e15-bb99-b2aa03fbef96;False;2025-03-24 18:34:02;;;
a9c1f8c4-80f9-4f59-a161-b2aa03fbf022;Jason Thompson;001520250324CC;Social Media Specialist;+1-421-840-5436;jason.thompson@gmail.com;;aadf904b-867e-4fc1-a5ef-b2aa03fbef96;False;2025-03-24 18:34:02;;;
ade2c868-07f9-4145-ab27-b2aa03fbf014;Adam Thomas;000520250324CC;Sales Manager;+1-247-757-1636;adam.thomas@gmail.com;;383e75a5-9364-4deb-8e99-b2aa03fbef96;False;2025-03-24 18:34:02;;;
b2a7d8de-4951-42bf-ae7f-b2aa03fbf043;Michael Moore;005020250324CC;Marketing Coordinator;+1-781-927-9842;michael.moore@gmail.com;;e7b22ab4-997e-4500-a9b6-b2aa03fbef96;False;2025-03-24 18:34:02;;;
b3398307-1ed6-4c2a-823e-b2aa03fbf029;Sarah Thomas;002220250324CC;Social Media Specialist;+1-576-201-2972;sarah.thomas@gmail.com;;77d66439-6e30-45af-ad5f-b2aa03fbef96;False;2025-03-24 18:34:02;;;
b5813a3d-0b48-477c-aaf6-b2aa03fbf04b;Matthew Jackson;005820250324CC;Event Coordinator;+1-139-782-3314;matthew.jackson@gmail.com;;973f8386-7119-4939-a65b-b2aa03fbef96;False;2025-03-24 18:34:02;;;
b5b529b9-f18c-4921-922c-b2aa03fbf023;Jason Thompson;001620250324CC;Sales Manager;+1-394-935-8719;jason.thompson@gmail.com;;f4548d75-cac1-40c7-827f-b2aa03fbef96;False;2025-03-24 18:34:02;;;
b76cedfb-651d-4c91-89e1-b2aa03fbf044;Olivia Williams;005120250324CC;Software Developer;+1-145-789-9678;olivia.williams@gmail.com;;e7b22ab4-997e-4500-a9b6-b2aa03fbef96;False;2025-03-24 18:34:02;;;
b8ec45cd-24fd-45a4-bbf3-b2aa03fbf049;Stephanie Taylor;005620250324CC;Research Analyst;+1-547-769-9445;stephanie.taylor@gmail.com;;85946162-de2b-4a8a-8c4e-b2aa03fbef96;False;2025-03-24 18:34:02;;;
bf7d83c8-5d26-4520-95cb-b2aa03fbf03b;Alexander Moore;004020250324CC;Sales Manager;+1-196-421-6509;alexander.moore@gmail.com;;8da71739-d9c6-43a0-8224-b2aa03fbef96;False;2025-03-24 18:34:02;;;
bf9267cc-92e4-440f-aa13-b2aa03fbf033;Olivia Martin;003120250324CC;Data Scientist;+1-151-865-7502;olivia.martin@gmail.com;;8f1bd5e1-ce70-457d-a3a9-b2aa03fbef96;False;2025-03-24 18:34:02;;;
c12e26b4-eeb0-4094-868f-b2aa03fbf03e;Michael Lopez;004420250324CC;Content Writer;+1-971-956-6670;michael.lopez@gmail.com;;64e21eb2-bb24-4583-bca9-b2aa03fbef96;False;2025-03-24 18:34:02;;;
c2ec7f28-4d68-4c9c-924f-b2aa03fbf026;Samantha Rodriguez;001920250324CC;Social Media Specialist;+1-199-405-1440;samantha.rodriguez@gmail.com;;de12914f-1419-4999-8e39-b2aa03fbef96;False;2025-03-24 18:34:02;;;
c902eefa-a4cc-499c-b3a6-b2aa03fbf034;Jennifer Rodriguez;003220250324CC;Quality Assurance Tester;+1-164-991-5762;jennifer.rodriguez@gmail.com;;8f1bd5e1-ce70-457d-a3a9-b2aa03fbef96;False;2025-03-24 18:34:02;;;
d60f60d1-9b01-41f5-bad7-b2aa03fbf041;Samantha Thomas;004720250324CC;Account Executive;+1-997-866-2012;samantha.thomas@gmail.com;;5ffbbab0-28db-48c5-b8ea-b2aa03fbef96;False;2025-03-24 18:34:02;;;
d6848abf-aab4-4f0d-bf0b-b2aa03fbf031;Jennifer Taylor;002920250324CC;Research Analyst;+1-602-851-2798;jennifer.taylor@gmail.com;;9baaf0aa-77b7-438d-94d6-b2aa03fbef96;False;2025-03-24 18:34:02;;;
e17cfb7d-9df6-45c2-be86-b2aa03fbf039;Kevin Brown;003820250324CC;HR Specialist;+1-946-864-6703;kevin.brown@gmail.com;;d2fe39c6-2662-404e-8661-b2aa03fbef96;False;2025-03-24 18:34:02;;;
e669c2a9-bfe0-4d2f-8500-b2aa03fbf03a;Amanda Garcia;003920250324CC;Account Executive;+1-642-168-8922;amanda.garcia@gmail.com;;d2fe39c6-2662-404e-8661-b2aa03fbef96;False;2025-03-24 18:34:02;;;
e6f161e4-1925-4aab-a1a6-b2aa03fbf049;Adam Jackson;005520250324CC;Event Coordinator;+1-465-381-5821;adam.jackson@gmail.com;;85946162-de2b-4a8a-8c4e-b2aa03fbef96;False;2025-03-24 18:34:02;;;
eded60a2-87d9-40f0-899e-b2aa03fbf04d;Emily Wilson;006020250324CC;Software Developer;+1-861-666-6768;emily.wilson@gmail.com;;973f8386-7119-4939-a65b-b2aa03fbef96;False;2025-03-24 18:34:02;;;
f1144113-1143-4eaa-860a-b2aa03fbf010;Jason Jackson;000320250324CC;Network Administrator;+1-520-775-8106;jason.jackson@gmail.com;;1f407fb8-e0da-4c34-bb21-b2aa03fbef96;False;2025-03-24 18:34:02;;;
f2546714-ce01-4222-be9e-b2aa03fbf021;Jessica Garcia;001420250324CC;Operations Manager;+1-307-881-3658;jessica.garcia@gmail.com;;aadf904b-867e-4fc1-a5ef-b2aa03fbef96;False;2025-03-24 18:34:02;;;
f2d154c4-baa5-48d2-9063-b2aa03fbf01a;Olivia Brown;000820250324CC;IT Consultant;+1-923-370-1040;olivia.brown@gmail.com;;be7e8379-73dd-4a6d-a0fc-b2aa03fbef96;False;2025-03-24 18:34:02;;;
f61a7a94-9470-4990-8bcc-b2aa03fbf035;Christopher Lopez;003320250324CC;Marketing Coordinator;+1-359-419-5489;christopher.lopez@gmail.com;;8f1bd5e1-ce70-457d-a3a9-b2aa03fbef96;False;2025-03-24 18:34:02;;;
f8ad10ff-cc37-4099-9ec9-b2aa03fbf032;Ashley Johnson;003020250324CC;HR Specialist;+1-720-111-8832;ashley.johnson@gmail.com;;9baaf0aa-77b7-438d-94d6-b2aa03fbef96;False;2025-03-24 18:34:02;;;
fbb05352-7288-4f68-b88d-b2aa03fbf01c;Amanda Davis;001020250324CC;Customer Success Manager;+1-410-652-2646;amanda.davis@gmail.com;;8ea3a51c-8f9a-444a-adba-b2aa03fbef96;False;2025-03-24 18:34:02;;;
